,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,7,emb,0.09974644899001883,24,512,21.333333333333332,1.6745179888114352,6.138223874629341,0.3165804654564995,True,4630.907746447055,embedding,6.159408878270985,3.7884512105642516,3.665666129383431,enc_embedding.temporal_embedding.hour_embed.emb,24,6144.000050091934,24,8,0,1,0.2384781219604388,4630.907746447055,1.3267377340448556,success,68.05077329793582,4.940740071096139e-07,over-trained,9,4630.907746447055,71.18522534229137
1,11,emb,0.06440150996142002,32,512,16.0,1.794181020550171,6.768091929933757,0.3355033859996647,True,5918.966223898757,embedding,6.785643056644193,3.913389947016813,3.7722458617126473,enc_embedding.temporal_embedding.day_embed.emb,32,8192.000063851585,32,10,0,1,0.251142089941553,5918.966223898757,1.3840254791073308,success,76.93481802083343,4.4726444073998266e-07,over-trained,14,5918.966223898757,88.77040936460627
2,13,emb,0.25818706361140853,13,512,39.38461538461539,1.0991189752280077,3.7765825568307236,0.2732938163969648,True,2729.0335699213956,embedding,3.8435696109460085,3.522183321439522,3.4360088779718203,enc_embedding.temporal_embedding.month_embed.emb,13,3328.0000292790774,13,9,0,1,0.033039658409335905,2729.0335699213956,1.2194793299574302,success,52.24015285124457,2.0686106422812004e-06,over-trained,3,2729.0335699213956,0.0010039000986623422
3,21,emb,0.09974644899001883,24,512,21.333333333333332,1.6745179888114352,6.138223874629341,0.3165804654564995,True,4630.907746447055,embedding,6.159408878270985,3.7884512105642516,3.665666129383431,dec_embedding.temporal_embedding.hour_embed.emb,24,6144.000050091934,24,8,0,1,0.2384781219604388,4630.907746447055,1.3267377340448556,success,68.05077329793582,4.940740071096139e-07,over-trained,9,4630.907746447055,71.18522534229137
4,25,emb,0.06440150996142002,32,512,16.0,1.794181020550171,6.768091929933757,0.3355033859996647,True,5918.966223898757,embedding,6.785643056644193,3.913389947016813,3.7722458617126473,dec_embedding.temporal_embedding.day_embed.emb,32,8192.000063851585,32,10,0,1,0.251142089941553,5918.966223898757,1.3840254791073308,success,76.93481802083343,4.4726444073998266e-07,over-trained,14,5918.966223898757,88.77040936460627
5,27,emb,0.25818706361140853,13,512,39.38461538461539,1.0991189752280077,3.7765825568307236,0.2732938163969648,True,2729.0335699213956,embedding,3.8435696109460085,3.522183321439522,3.4360088779718203,dec_embedding.temporal_embedding.month_embed.emb,13,3328.0000292790774,13,9,0,1,0.033039658409335905,2729.0335699213956,1.2194793299574302,success,52.24015285124457,2.0686106422812004e-06,over-trained,3,2729.0335699213956,0.0010039000986623422
6,35,query_projection,0.12434938086802505,512,512,1.0,8.499550317634338,0.9537576647971499,0.9198098383598035,True,1.294829903191934,dense,2.074995656872708,2.230979992673895,0.11221272057397588,encoder.attn_layers.0.attention.query_projection,512,170.20800941913558,512,35,0,1,1.2676553718998516,1.294829903191934,131.45202238498618,success,1.1379059289730122,0.000730812549405151,under-trained,1,1.294829903191934,0.9653742433737609
7,36,key_projection,0.10958982649267474,512,512,1.0,10.833686233894067,1.287357018795115,0.9198129446813822,True,1.3147073311281383,dense,2.2425799495170433,2.2335137234514697,0.11882908467180028,encoder.attn_layers.0.attention.key_projection,512,171.20392752872897,512,27,0,1,1.8924937980883523,1.3147073311281383,130.2220832539364,success,1.1466068773246296,0.0004697282762934988,under-trained,1,1.3147073311281383,1.033233339783768
8,37,value_projection,0.12793506942753918,512,512,1.0,7.822223126805668,0.8750546273832887,0.9201024966494953,True,1.2938018450309798,dense,2.006475989037964,2.231715941675046,0.11186776613218798,encoder.attn_layers.0.attention.value_projection,512,170.49668591707118,512,45,0,1,1.0169969779472428,1.2938018450309798,131.77959713992266,success,1.1374541067801285,0.0005120632794736627,under-trained,2,1.2938018450309798,0.9111593968718077
9,38,out_projection,0.13726334755905895,512,512,1.0,5.252948509760487,0.5853523551883792,0.9199336611495836,True,1.2925075943402367,dense,1.9426279680554286,2.2327922078122393,0.1114331035418942,encoder.attn_layers.0.attention.out_projection,512,170.91973382408153,512,74,0,1,0.49439522195870167,1.2925075943402367,132.2388623266294,success,1.1368850400723183,0.00026167459455941227,,1,1.2925075943402367,0.7572610104604044
